ticker,name,trend,index
KALYANKJIL.NS,Kalyan Jewellers India Limited,down,nifty_midcap_100
KPITTECH.NS,KPIT Technologies Limited,neutral,nifty_midcap_100
LAURUSLABS.NS,Laurus Labs Limited,up,nifty_midcap_100
LICHSGFIN.NS,LIC Housing Finance Limited,up,nifty_midcap_100
LTF.NS,L&T Finance Limited,down,nifty_midcap_100
AADHARHFC.NS,AADHAR HOUSING FINANCE L,down,nifty_smallcap_100
AARTIIND.NS,Aarti Industries Limited,down,nifty_smallcap_100
ACE.NS,Action Construction Equipment Limited,up,nifty_smallcap_100
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,up,nifty_smallcap_100
AFCONS.NS,AFCONS INFRASTRUCTURE LTD,down,nifty_smallcap_100
AFFLE.NS,Affle 3i Limited,up,nifty_smallcap_100
AMBER.NS,Amber Enterprises India Limited,up,nifty_smallcap_100
ANANTRAJ.NS,Anant Raj Limited,up,nifty_smallcap_100
ANGELONE.NS,Angel One Limited,up,nifty_smallcap_100
ASTERDM.NS,Aster DM Healthcare Limited,up,nifty_smallcap_100
ATUL.NS,Atul Ltd,down,nifty_smallcap_100
AAVAS.NS,Aavas Financiers Limited,down,nifty_smallcap_100
BATAINDIA.NS,Bata India Limited,down,nifty_smallcap_100
BEML.NS,BEML Limited,down,nifty_smallcap_100
BLS.NS,BLS International Services Limited,down,nifty_smallcap_100
BLUESTARCO.NS,Blue Star Limited,down,nifty_smallcap_100
BRIGADE.NS,Brigade Enterprises Limited,down,nifty_smallcap_100
BSOFT.NS,Birlasoft Limited,down,nifty_smallcap_100
CASTROLIND.NS,Castrol India Limited,down,nifty_smallcap_100
CDSL.NS,Central Depository Services (India) Limited,down,nifty_smallcap_100
CESC.NS,CESC Limited,down,nifty_smallcap_100
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,down,nifty_smallcap_100
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,up,nifty_smallcap_100
CAMS.NS,Computer Age Management Services Limited,down,nifty_smallcap_100
CREDITACC.NS,CreditAccess Grameen Limited,down,nifty_smallcap_100
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,down,nifty_smallcap_100
CYIENT.NS,Cyient Limited,down,nifty_smallcap_100
DATAPATTNS.NS,Data Patterns (India) Limited,up,nifty_smallcap_100
DELHIVERY.NS,Delhivery Limited,down,nifty_smallcap_100
DEVYANI.NS,Devyani International Limited,down,nifty_smallcap_100
DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited,up,nifty_smallcap_100
LALPATHLAB.NS,Dr. Lal PathLabs Limited,up,nifty_smallcap_100
FINCABLES.NS,Finolex Cables Limited,down,nifty_smallcap_100
FSL.NS,Firstsource Solutions Limited,down,nifty_smallcap_100
FIVESTAR.NS,Five-Star Business Finance Limited,down,nifty_smallcap_100
GLENMARK.NS,Glenmark Pharmaceuticals Limited,down,nifty_smallcap_100
GODFRYPHLP.NS,Godfrey Phillips India Limited,down,nifty_smallcap_100
GPIL.NS,Godawari Power & Ispat Limited,down,nifty_smallcap_100
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,down,nifty_smallcap_100
GESHIP.NS,The Great Eastern Shipping Company Limited,down,nifty_smallcap_100
GSPL.NS,Gujarat State Petronet Limited,down,nifty_smallcap_100
HFCL.NS,HFCL Limited,up,nifty_smallcap_100
HSCL.NS,Himadri Speciality Chemical Limited,up,nifty_smallcap_100
HINDCOPPER.NS,Hindustan Copper Limited,down,nifty_smallcap_100
IDBI.NS,IDBI Bank Limited,up,nifty_smallcap_100
IFCI.NS,IFCI Limited,up,nifty_smallcap_100
IIFL.NS,IIFL Finance Limited,up,nifty_smallcap_100
